Electoral district number ,Electoral district name,Political affiliation,Votes obtained ,% Votes obtained ,Full_name,Total_valid_votes,Rank,Winner,PPC_Vote
35100,Simcoe North,NDP,9958,15.7,Janet-Lynne Durnford,63608,3,Loser,4822
35100,Simcoe North,Christian Heritage Party,210,0.3,Russ Emo,63608,6,Loser,4822
35100,Simcoe North,PPC,4822,7.6,Stephen Makk,63608,4,Loser,4822
35100,Simcoe North,Liberal,19332,30.4,Cynthia Wesley-Esquimaux,63608,2,Loser,4822
35101,Spadina--Fort York,NDP,16834,34.5,Norm Di Pasquale,48821,2,Loser,1476
35101,Spadina--Fort York,Conservative,9875,20.2,Sukhi Jandu,48821,3,Loser,1476
35101,Spadina--Fort York,PPC,1476,3,Ian Roden,48821,5,Loser,1476
35101,Spadina--Fort York,Green Party,1645,3.4,Amanda Rosenstock,48821,4,Loser,1476
35101,Spadina--Fort York,Liberal,18991,38.9,Kevin Vuong,48821,1,Winner,1476
35102,Stormont--Dundas--South Glengarry,PPC,3921,7.4,David Anber,52653,4,Loser,3921
35102,Stormont--Dundas--South Glengarry,Conservative,29255,55.6,Eric Duncan,52653,1,Winner,3921
35102,Stormont--Dundas--South Glengarry,NDP,5804,11,Trevor Kennedy,52653,3,Loser,3921
35102,Stormont--Dundas--South Glengarry,Liberal,12443,23.6,Denis Moquin,52653,2,Loser,3921
35102,Stormont--Dundas--South Glengarry,Green Party,1230,2.3,Jeanie Warnock,52653,5,Loser,3921
35103,Sudbury,Liberal,15871,34.5,Viviane LaPointe,45973,1,Winner,2735
35103,Sudbury,PPC,2735,5.9,Colette Andréa Methé,45973,4,Loser,2735
35103,Sudbury,Independent,111,0.2,J. David Popescu,45973,6,Loser,2735
35103,Sudbury,Green Party,940,2,David Robert Robinson,45973,5,Loser,2735
35103,Sudbury,Conservative,12747,27.7,Ian Symington,45973,3,Loser,2735
35103,Sudbury,NDP,13569,29.5,Nadia Verrelli,45973,2,Loser,2735
35104,Thornhill,Liberal,18168,36.3,Gary Gladstone,50062,2,Loser,2322
35104,Thornhill,PPC,2322,4.6,Samuel Greenfield,50062,4,Loser,2322
35104,Thornhill,Conservative,25687,51.3,Melissa Lantsman,50062,1,Winner,2322
35104,Thornhill,Green Party,844,1.7,Daniella Mikanovsky,50062,5,Loser,2322
35104,Thornhill,NDP,3041,6.1,Raz Razvi,50062,3,Loser,2322
35105,Thunder Bay--Rainy River,PPC,2621,6.6,Alan Aubut,39860,4,Loser,2621
35105,Thunder Bay--Rainy River,Green Party,571,1.4,Tracey MacKinnon,39860,5,Loser,2621
35105,Thunder Bay--Rainy River,Conservative,11671,29.3,Adelina Pecchia,39860,2,Loser,2621
35105,Thunder Bay--Rainy River,Liberal,13655,34.3,Marcus Powlowski,39860,1,Winner,2621
35105,Thunder Bay--Rainy River,NDP,11342,28.5,Yuk-Sem Won,39860,3,Loser,2621
